time,ax,ay,az,aT
3.2250,3.2609,3.6512,0.8210,4.964
3.2350,3.7924,3.7814,1.0479,5.457
3.2450,4.4671,3.8963,1.3628,6.082
3.2560,5.1922,3.9499,1.8525,6.782
3.2680,5.6874,4.1015,2.1964,7.348
3.2750,6.0413,4.3344,2.4779,7.837
3.2870,6.3765,4.5465,2.6820,8.278
3.2950,6.4236,4.8281,2.8228,8.517
3.3060,6.3875,5.2029,3.1785,8.830
3.3230,6.2906,5.5501,3.5799,9.121
3.3260,6.3298,5.7507,4.0122,9.446
3.3370,6.6084,5.7702,4.3169,9.778
3.3480,6.9292,5.7853,4.6236,10.142
3.3550,7.4094,5.5643,4.8475,10.458
3.3660,7.9437,5.2439,4.9428,10.725
3.3750,8.2102,4.8456,5.0351,10.781
3.3850,8.2600,4.5112,5.0581,10.685
3.3940,7.8511,4.2978,4.9726,10.239
3.4050,7.1570,4.2206,4.7665,9.579
3.4150,6.4065,4.2383,4.6592,8.984
3.4250,5.8091,4.1751,4.4991,8.451
3.4350,5.5075,3.8856,4.2990,7.994
3.4440,5.6216,3.3991,4.0313,7.708
3.4610,6.2412,2.8162,3.7222,7.794
3.4670,7.1265,2.0851,3.5562,8.233
3.4750,8.0290,1.1194,3.4463,8.809
3.4850,8.8935,0.1552,3.4044,9.524
3.4950,9.7326,-0.7967,3.4387,10.353
3.5050,10.0283,-1.8647,3.4733,10.775
3.5150,9.8295,-2.7451,3.4311,10.767
3.5250,9.1648,-3.2699,3.5831,10.369
3.5350,8.2613,-3.5519,3.7421,9.740
3.5460,7.2279,-3.6481,3.5533,8.842
3.5550,6.2262,-3.7345,3.2333,7.948
3.5650,5.2125,-3.9504,2.8343,7.128
3.5750,4.1300,-4.1246,2.4451,6.328
3.5860,3.0849,-4.2720,2.2892,5.745
3.5950,1.9909,-4.3675,1.9956,5.198
3.6050,0.8123,-4.3316,1.7466,4.741
3.6280,-0.1004,-4.4590,1.5109,4.709
3.6300,-0.9524,-4.5233,1.1168,4.755
3.6410,-1.6297,-4.6618,0.9893,5.037
3.6500,-1.9986,-4.8075,0.7671,5.263
3.6560,-2.2951,-5.1444,0.5862,5.664
3.6650,-2.4399,-5.5530,0.4061,6.079
