time,ax,ay,az,aT
22.3130,-1.8055,-6.9987,-4.6690,8.605
22.3140,-1.1806,-6.7028,-4.5060,8.162
22.3540,-0.6349,-6.4743,-4.1598,7.722
22.3560,-0.2240,-6.2501,-3.8150,7.326
22.3570,0.0755,-6.0115,-3.3297,6.872
22.3590,0.6587,-6.0602,-2.5522,6.609
22.3600,1.1508,-5.9979,-1.6542,6.327
22.3650,1.7562,-5.9141,-0.6153,6.200
22.3730,2.4857,-5.5983,0.6217,6.157
22.3840,3.5399,-5.3496,1.1348,6.514
22.3910,4.8227,-5.0071,1.3031,7.073
22.4300,6.3363,-4.7226,0.9548,7.960
22.4320,7.7765,-4.3343,0.4704,8.915
22.4330,9.0022,-3.9219,-0.1055,9.820
22.4340,9.7915,-3.3913,-0.0620,10.362
22.4480,9.8728,-2.6007,0.2025,10.212
22.4550,9.8894,-1.8428,0.5583,10.075
22.4640,10.0177,-1.4841,0.7109,10.152
22.4730,10.3020,-1.1323,0.4320,10.373
22.4880,10.8962,-0.9149,-0.1165,10.935
22.4910,11.3311,-0.3855,-0.4245,11.346
22.5740,11.9078,0.3182,-0.4628,11.921
22.5770,12.6784,0.8559,-0.3790,12.713
22.5790,13.3575,1.5251,-0.2074,13.446
22.5810,13.8262,2.1483,0.4066,13.998
22.5830,13.9321,2.8894,1.2025,14.279
22.5840,14.3758,2.9951,1.9234,14.810
22.5860,15.0889,2.3087,2.4208,15.455
22.5870,15.3278,1.8569,2.6107,15.659
22.5890,14.6389,2.4680,2.6130,15.074
22.5930,14.1350,3.3396,2.2533,14.698
22.6030,13.8027,4.0513,1.8985,14.510
22.6210,14.0445,4.2778,1.8955,14.803
22.6250,14.7438,4.0746,2.5236,15.503
22.7170,15.3267,3.7925,2.9030,16.054
22.7190,15.4432,3.6055,2.8207,16.107
22.7210,15.1516,3.1128,2.1265,15.613
22.7240,14.6485,2.5192,1.0580,14.901
22.7270,14.1845,2.0428,-0.0867,14.331
22.7290,13.7617,1.3759,-0.9536,13.863
22.7310,13.4251,0.4293,-1.6105,13.528
22.7320,12.7573,-0.5354,-1.8144,12.897
22.7330,11.7733,-1.4202,-1.7415,11.986
22.7350,10.3941,-2.1269,-1.3733,10.698
22.7380,8.7514,-2.7329,-1.1454,9.239
22.7420,6.7899,-3.1569,-0.5534,7.508
22.7610,4.8915,-3.1534,0.1162,5.821
22.7750,3.3386,-3.0298,0.9835,4.614
22.8650,2.1151,-2.6906,1.6858,3.815
22.8680,1.5538,-2.4495,2.3630,3.741
22.8700,1.3206,-2.5830,2.5857,3.886
22.8700,1.3589,-2.8479,2.2199,3.858
22.8720,1.1954,-3.1695,1.3267,3.638
22.8740,0.8453,-3.3680,0.0808,3.473
22.8760,0.4055,-3.4375,-1.0962,3.631
22.8790,-0.0849,-3.4250,-2.1815,4.062
22.8800,-0.3069,-3.3948,-2.8033,4.413
22.8820,-0.1009,-3.5949,-2.7690,4.539
22.8820,0.2967,-3.8306,-2.2766,4.466
22.8840,0.5775,-4.2044,-1.5067,4.503
22.8990,0.8201,-4.7723,-0.6495,4.886
22.9040,0.9489,-5.4775,0.1602,5.561
22.9840,0.6366,-6.2366,0.8315,6.324
22.9860,0.2432,-7.2654,1.2643,7.379
22.9860,-0.3021,-8.1080,1.5941,8.269
22.9870,-0.9520,-8.6381,1.8077,8.876
22.9870,-1.7111,-9.1321,1.9561,9.495
22.9880,-2.8854,-9.4971,1.8174,10.091
22.9890,-3.7942,-9.7539,1.8873,10.635
22.9900,-4.5884,-10.0575,1.5054,11.157
23.0020,-5.3634,-10.0202,1.3098,11.441
23.0040,-6.0043,-9.7475,0.9431,11.487
23.0130,-6.2006,-9.6967,0.8017,11.538
23.0490,-6.1693,-9.5721,0.5995,11.404
23.0530,-6.6157,-9.2310,0.7997,11.385
23.0540,-6.9815,-9.0087,1.2868,11.470
23.0540,-7.9803,-8.7219,1.7022,11.944
23.1240,-9.2495,-8.5920,1.9937,12.781
23.1310,-9.7541,-9.1892,1.8329,13.526
23.1330,-8.9623,-10.7659,0.4508,14.015
23.1350,-8.8053,-11.3987,-1.4670,14.478
23.1370,-9.7607,-10.3895,-2.1241,14.413
23.1380,-11.2229,-9.9074,-1.6684,15.063
23.1390,-11.8652,-10.6705,-0.8615,15.981
23.1490,-11.9841,-10.8721,1.1104,16.219
23.1500,-10.7500,-11.2942,3.2840,15.934
23.1660,-8.4294,-11.8426,4.3565,15.175
23.1680,-6.1661,-11.8049,3.7507,13.836
23.2350,-4.8564,-11.4248,2.0375,12.580
23.2380,-4.8184,-11.3199,-0.0168,12.303
23.2400,-5.5411,-10.9871,-2.1018,12.483
23.2420,-5.7559,-11.2361,-3.6144,13.132
23.2440,-5.6675,-11.4266,-4.8313,13.639
23.2490,-5.5473,-11.5090,-5.2807,13.824
23.2500,-6.1212,-11.3951,-4.9093,13.835
23.2520,-7.0182,-11.0501,-3.7812,13.626
23.2600,-7.6752,-10.5524,-2.5927,13.304
23.2640,-7.8606,-9.7544,-1.6839,12.640
23.3120,-7.2611,-8.9949,-1.1902,11.621
23.3150,-6.3705,-8.3788,-1.3142,10.607
23.3160,-5.1075,-7.8680,-1.9813,9.587
