time,ax,ay,az,aT
22.0070,-5.7861,-10.3496,0.2371,11.860
22.0080,-5.4399,-10.1625,0.1701,11.528
22.0090,-4.7211,-10.1189,0.2794,11.170
22.0100,-3.7145,-10.3185,0.5175,10.979
22.0110,-2.4250,-10.3466,0.9405,10.669
22.0140,-1.1942,-10.4034,1.2755,10.549
22.0240,0.0132,-10.5276,1.7799,10.677
22.0340,1.2662,-10.7851,1.8207,11.011
22.0430,2.3318,-10.8541,1.7877,11.245
22.0560,2.9741,-10.6767,1.4807,11.182
22.0630,4.6700,-10.8383,1.5239,11.900
22.0740,5.8262,-10.3529,1.3796,11.960
22.1230,6.8771,-9.4754,1.2615,11.776
22.1240,7.6447,-8.1679,1.1351,11.245
22.1250,7.8689,-6.7472,1.1879,10.433
22.1260,7.5137,-5.1351,1.1958,9.179
22.1270,6.6642,-3.4538,1.2613,7.611
22.1430,5.6609,-1.9255,1.4194,6.146
22.1450,4.7479,-0.5480,1.5476,5.024
22.1940,4.0206,0.3303,1.8526,4.439
22.1960,3.3149,1.1512,2.2955,4.193
22.1970,2.6987,1.6908,2.5986,4.110
22.1980,2.1191,2.1668,2.6295,4.012
22.1980,1.6666,2.5626,2.2819,3.815
22.2070,1.5268,2.7262,1.6990,3.557
22.2130,1.7005,2.7330,1.0884,3.398
22.2230,2.0553,2.7650,0.4153,3.470
22.2330,2.5560,2.6794,-0.1279,3.705
22.2760,2.8637,2.5234,-0.6550,3.873
22.2770,3.1254,2.2507,-1.1186,4.011
22.2780,3.4531,2.0106,-1.6373,4.318
22.2790,3.6337,1.7519,-1.8659,4.445
22.2830,3.8258,1.4488,-2.1127,4.604
22.2930,3.7571,1.0990,-2.2273,4.504
22.3040,3.4084,0.8975,-2.1164,4.111
22.3130,3.0366,0.9014,-1.8615,3.674
22.3230,2.6561,1.0170,-1.5621,3.245
22.3320,2.5190,1.1894,-1.1522,3.015
22.3450,2.6175,1.3150,-0.7537,3.025
22.4140,3.1190,1.3117,-0.2175,3.391
22.4160,3.6597,1.3407,0.2576,3.906
22.4180,3.9772,1.3873,0.7025,4.270
22.4190,4.2272,1.5523,1.0613,4.627
22.4200,4.3608,1.6569,1.3070,4.845
22.4210,4.4650,1.8976,1.6679,5.130
22.4210,4.6452,2.2008,1.8967,5.479
22.4230,5.0320,2.4317,2.0810,5.964
22.4330,5.6411,2.7239,2.2202,6.646
22.4430,6.2792,3.0811,2.3809,7.388
22.4550,6.9446,3.5089,2.4786,8.166
22.4620,7.6656,3.9598,2.6763,9.033
22.4750,8.5541,4.3609,2.7870,9.998
22.4820,9.2355,4.6415,2.8107,10.712
22.5290,9.6860,4.9325,2.8607,11.240
22.5310,9.9526,5.2255,2.8290,11.592
22.5320,10.2640,5.3171,3.0465,11.954
22.5330,10.5420,5.2626,3.2093,12.212
22.5350,10.6993,5.0236,3.4744,12.320
22.5450,10.6907,4.9005,3.8289,12.368
22.5540,10.4034,4.7014,4.0088,12.100
22.5630,10.2132,4.3059,4.1390,11.831
22.5730,10.2524,3.4790,3.8022,11.475
22.5820,10.3414,2.6163,3.3215,11.172
22.5930,10.4015,1.8237,2.6897,10.897
22.6070,10.4954,0.7656,2.1860,10.748
22.6620,10.5314,-0.2211,1.8903,10.702
22.6650,10.4338,-1.1637,1.7614,10.645
22.6660,10.2793,-2.0904,1.6960,10.626
22.6680,9.5234,-2.6360,1.6172,10.013
22.6690,9.3765,-3.6391,2.0873,10.272
22.6700,9.4296,-4.5001,2.3711,10.714
22.6740,8.8123,-4.8473,2.4097,10.342
22.6830,8.1896,-4.9483,2.5531,9.903
22.6930,7.5869,-5.1353,2.5549,9.511
22.7050,6.9171,-5.2757,2.6021,9.080
22.7130,5.9961,-5.3190,2.6280,8.435
22.7240,4.9287,-5.3182,2.6074,7.705
22.7330,3.8782,-5.2428,2.4219,6.957
22.7470,2.8564,-5.2970,2.3924,6.476
22.7970,1.8453,-5.3094,2.3068,6.076
22.7990,0.8868,-5.3806,2.0376,5.821
22.8000,0.1375,-5.4123,1.8083,5.708
22.8010,-0.3606,-5.5994,1.5740,5.828
22.8020,-0.8043,-5.8676,1.3690,6.079
22.8070,-1.2087,-6.1523,1.0489,6.357
22.8140,-1.4544,-6.5750,0.6297,6.763
22.8230,-1.6186,-7.2477,0.3177,7.433
22.8360,-1.9436,-7.9490,-0.0945,8.184
22.8430,-2.4517,-8.3638,-0.4315,8.726
22.8540,-2.8438,-8.7255,-0.7249,9.206
22.8630,-3.1483,-8.8101,-0.8249,9.392
22.8730,-3.4358,-8.8406,-0.9883,9.536
22.9420,-3.7754,-8.7015,-1.1007,9.549
22.9440,-3.9092,-8.6157,-1.3197,9.553
22.9450,-3.9861,-8.6391,-1.4164,9.619
22.9460,-3.9796,-8.7147,-1.6564,9.723
22.9470,-4.0292,-8.7673,-1.7739,9.811
22.9470,-4.0535,-8.8665,-1.8328,9.920
22.9480,-4.0006,-8.9208,-1.7039,9.924
22.9580,-3.8944,-9.2395,-1.4502,10.131
22.9640,-3.8593,-9.4851,-1.2762,10.319
22.9730,-4.0111,-9.6126,-1.1295,10.477
22.9830,-4.1580,-9.7387,-1.0602,10.642
22.9940,-4.3586,-9.7505,-0.9073,10.719
23.0070,-4.4564,-9.7836,-0.9290,10.791
23.0620,-4.5826,-9.8270,-1.0450,10.893
23.0640,-4.8318,-9.8984,-1.1164,11.071
23.0650,-5.0844,-9.8698,-1.2180,11.169
23.0660,-5.3666,-9.8421,-1.1362,11.268
23.0670,-5.6771,-9.7168,-1.1823,11.316
23.0690,-5.9723,-9.7613,-1.1050,11.497
23.0770,-6.0577,-10.0008,-1.0798,11.742
23.0840,-6.2703,-10.3365,-0.9705,12.129
23.0950,-6.3908,-10.6359,-0.8508,12.437
23.1470,-6.4685,-10.9368,-0.7694,12.730
23.1480,-6.4522,-11.2850,-0.7762,13.022
23.1500,-6.3081,-11.3375,-0.8005,12.999
23.1530,-6.0480,-11.1345,-0.7207,12.691
23.1540,-5.7755,-10.9901,-0.6582,12.433
23.1550,-5.4421,-11.0054,-0.6853,12.297
23.1650,-4.8881,-10.8362,-0.6153,11.904
23.1770,-3.8917,-10.6180,-0.4283,11.317
23.2550,-2.7372,-10.3159,0.0507,10.673
23.2570,-1.6043,-10.2676,0.4620,10.402
23.2580,-0.7577,-10.2979,0.8863,10.364
23.2590,0.1529,-10.4998,1.2894,10.580
23.2600,1.1292,-10.9848,1.5991,11.158
23.2610,2.2018,-11.7174,1.8282,12.062
23.2620,3.1429,-12.2095,2.1447,12.789
23.2630,4.0764,-12.0210,2.4257,12.923
23.2650,4.7745,-11.2426,2.7402,12.518
23.2750,5.6754,-10.3645,2.7001,12.121
23.2830,6.4458,-9.3736,2.4098,11.628
23.2940,6.9928,-8.1355,1.9678,10.907
23.3480,7.1671,-6.8342,1.6477,10.039
