time,ax,ay,az,aT
30.8950,-4.5244,1.0625,0.1513,4.650
30.8960,-4.1595,0.8504,0.6740,4.299
30.8970,-3.9365,0.7936,1.0284,4.145
30.8970,-3.7736,0.8393,1.1931,4.046
30.8980,-3.5463,0.6947,1.4015,3.876
30.8990,-3.2437,0.4735,1.5282,3.617
30.9080,-2.7685,0.2540,1.7616,3.291
30.9180,-2.3656,-0.1979,2.0305,3.124
30.9350,-1.8656,-0.5062,2.3236,3.023
30.9380,-1.4424,-0.9032,2.7527,3.236
31.0100,-1.0397,-1.1973,3.1820,3.555
31.0120,-0.7077,-1.4444,3.4388,3.796
31.0130,-0.4508,-1.7235,3.5895,4.007
31.0140,-0.2303,-2.0078,3.5420,4.078
31.0140,0.0087,-2.2778,3.2429,3.963
31.0150,0.3317,-2.4726,2.6712,3.655
31.0160,0.6409,-2.7676,2.0571,3.507
31.0180,0.9947,-2.9189,1.6375,3.492
31.0280,1.3143,-3.1356,1.2585,3.625
31.0380,1.7883,-3.3896,0.9960,3.960
31.0480,2.2458,-3.6742,0.8347,4.386
31.0590,2.6834,-3.8188,0.5909,4.705
31.0690,3.0912,-3.9078,0.3926,4.998
31.1770,3.4068,-4.0345,0.2834,5.288
31.1780,3.6857,-4.0742,0.4489,5.512
31.1790,4.0570,-4.0672,0.5536,5.771
31.1800,4.0473,-4.1235,0.6059,5.810
31.1810,4.0293,-4.2901,0.7110,5.928
31.1820,3.9585,-4.4609,0.7720,6.014
31.1830,3.9342,-4.6633,0.8029,6.154
31.1830,3.9342,-4.8718,0.7595,6.308
31.1840,3.8964,-5.1482,0.6414,6.488
31.1840,3.8497,-5.4045,0.5057,6.655
31.1850,3.7520,-5.7445,0.4239,6.874
31.1900,3.7177,-5.9530,0.3335,7.026
31.1990,3.6945,-6.2210,0.2909,7.241
31.2100,3.8363,-6.3919,0.2577,7.459
31.2220,3.9557,-6.4325,0.2532,7.556
31.2940,3.7391,-6.4463,0.3424,7.460
31.2960,3.2609,-6.7293,0.2331,7.481
31.2970,2.9861,-6.7688,-0.1441,7.400
31.2970,2.7472,-6.5276,-0.7042,7.117
31.2980,2.5493,-6.3542,-1.3689,6.982
31.2990,2.3998,-6.3093,-1.8464,6.998
31.2990,2.4443,-6.3936,-2.0400,7.142
31.3020,2.8594,-6.3809,-1.8454,7.232
31.3080,3.2611,-6.1495,-1.2282,7.068
31.3180,3.4584,-5.6806,-0.3402,6.659
31.3280,3.6034,-5.2759,0.5683,6.414
31.3380,3.4610,-4.9250,1.3763,6.175
31.3500,3.0362,-4.6432,1.9807,5.891
31.3580,2.5724,-4.4369,2.3639,5.647
31.4230,2.1285,-4.3540,2.5453,5.474
31.4250,1.8105,-4.3101,2.4883,5.296
31.4250,1.3986,-4.2216,1.9817,4.869
31.4270,1.1823,-4.1502,1.1858,4.475
31.4280,0.9319,-3.8885,0.5963,4.043
31.4300,0.9607,-3.6367,0.1252,3.764
31.4300,1.0316,-3.1787,0.0184,3.342
31.4390,1.1145,-2.6806,0.0474,2.903
31.4480,1.1754,-2.1094,0.1156,2.418
31.4590,1.0116,-1.4756,0.2223,1.803
31.4680,0.8143,-0.8323,0.2084,1.183
31.4850,0.5172,-0.3107,0.1604,0.624
31.4950,0.2018,0.0745,-0.0119,0.215
31.5630,-0.1592,0.3937,-0.2158,0.476
31.5650,-0.3915,0.5859,-0.4463,0.834
31.5670,-0.4632,0.5558,-0.6990,1.006
31.5680,-0.3210,0.3872,-0.7096,0.870
31.5690,-0.0038,0.0700,-0.7112,0.715
31.5700,0.2271,-0.3065,-0.6280,0.735
31.5710,0.3423,-0.6239,-0.4080,0.820
31.5740,0.4461,-0.6790,-0.1629,0.829
31.5830,0.3211,-0.7180,0.2160,0.816
31.5890,0.0618,-0.6960,0.6215,0.935
31.5990,-0.2123,-0.4924,0.8349,0.992
31.6080,-0.6161,-0.2461,0.8872,1.108
31.6180,-1.0437,-0.0061,0.7838,1.305
31.6340,-1.4162,0.3391,0.6984,1.615
31.6420,-1.6561,0.6301,0.5564,1.857
31.7080,-1.8392,0.9326,0.4886,2.119
31.7110,-1.9558,1.1506,0.4569,2.315
31.7130,-2.1613,1.1528,0.3703,2.477
31.7140,-2.3256,1.2450,0.0896,2.639
31.7150,-2.5539,1.2259,-0.2606,2.845
31.7160,-2.8634,1.1506,-0.5480,3.134
31.7160,-3.1890,1.0253,-0.7232,3.427
31.7190,-3.4846,1.0534,-0.8615,3.741
31.7290,-3.7402,1.1436,-0.9049,4.014
31.7380,-3.9453,1.2373,-0.8840,4.228
31.7490,-4.0642,1.4059,-0.7700,4.369
31.7570,-4.2161,1.4903,-0.5455,4.505
31.7680,-4.5482,1.3750,-0.3025,4.761
31.8390,-4.7159,1.4055,-0.1633,4.924
31.8400,-4.7957,1.5824,-0.2307,5.055
31.8410,-4.9492,1.8087,-0.3894,5.284
31.8420,-5.4926,1.8837,-0.8291,5.865
31.8420,-6.2867,1.6389,-1.2300,6.612
31.8430,-6.7653,1.4948,-1.4975,7.088
31.8430,-6.8236,1.6735,-1.6233,7.211
31.8500,-6.7148,1.8638,-1.6203,7.155
31.8580,-6.7094,1.9716,-1.4836,7.149
31.8680,-6.7015,2.1741,-1.0796,7.128
31.8790,-6.3907,2.6304,-0.6403,6.940
31.8870,-5.8994,3.3115,-0.1898,6.768
31.8990,-5.6560,3.8650,0.0284,6.851
31.9070,-6.1106,3.9992,-0.3192,7.310
31.9200,-6.7293,3.7561,-0.7487,7.743
31.9960,-7.2197,3.5292,-1.1342,8.116
31.9990,-7.3686,3.5418,-1.1972,8.263
32.0000,-7.2941,3.4858,-1.1209,8.162
32.0000,-7.1936,3.3143,-0.9016,7.972
32.0010,-6.9706,3.0597,-0.6742,7.642
32.0020,-6.7173,2.6550,-0.4920,7.240
32.0030,-6.3635,2.3256,-0.2732,6.781
32.0040,-6.0216,1.9520,-0.0556,6.330
32.0080,-5.6873,1.6678,0.3435,5.937
32.0180,-5.2801,1.4520,0.7581,5.528
32.0270,-4.9922,1.3673,1.1386,5.300
32.0370,-4.8475,1.3699,1.7090,5.319
32.0510,-4.7666,1.3278,2.1818,5.408
32.0590,-4.5475,1.2174,2.6323,5.394
32.1230,-4.2426,1.1916,2.7888,5.215
32.1250,-3.8271,1.1535,2.8415,4.904
32.1260,-3.2036,0.7405,2.8648,4.361
32.1270,-2.6848,0.0903,2.9598,3.997
32.1300,-2.4260,-0.4615,3.2958,4.118
32.1310,-2.0074,-0.8554,3.5843,4.196
32.1320,-1.6630,-1.2971,3.8164,4.360
32.1390,-1.3398,-1.7187,3.7054,4.299
32.1500,-1.1358,-2.0169,3.2896,4.022
32.1580,-0.9289,-2.3109,2.7254,3.692
32.1690,-0.5490,-2.5694,2.2480,3.458
32.1770,-0.0994,-2.7938,1.8223,3.337
32.1910,0.3262,-3.1374,1.5339,3.508
32.2740,0.7735,-3.2980,1.4078,3.668
32.2750,1.2413,-3.5081,1.3203,3.948
32.2770,1.7523,-3.6884,1.1667,4.247
32.2770,2.0714,-3.8081,1.2626,4.515
32.2790,2.4441,-3.9492,1.3146,4.827
32.2810,2.8493,-3.9433,1.2606,5.026
32.2820,3.0764,-4.0806,1.3025,5.274
32.2820,3.2138,-4.2784,1.2013,5.484
32.2830,3.3488,-4.4428,1.2210,5.696
32.2900,3.2743,-4.7274,1.1718,5.869
32.2990,3.2775,-5.0818,1.1788,6.161
