time,ax,ay,az,aT
3.5690,-1.3222,-7.6791,1.7175,7.979
3.5700,0.4218,-7.9213,1.8825,8.153
3.5710,2.0668,-8.0725,1.4280,8.454
3.6040,3.2116,-8.0422,0.5252,8.676
3.6060,3.9451,-7.5811,-0.5029,8.561
3.6080,4.3704,-7.0693,-1.3194,8.415
3.6090,4.5754,-6.5272,-1.7302,8.157
3.6150,4.7146,-5.7687,-1.9023,7.689
3.6300,4.7201,-4.9110,-1.4100,6.956
3.6370,4.3729,-3.9119,-0.9267,5.940
3.6440,3.9587,-2.7999,-0.5101,4.876
3.6580,3.4976,-1.7303,-0.2558,3.911
3.6700,3.0747,-0.7172,-0.2601,3.168
3.6790,2.8407,0.0460,-0.4903,2.883
3.6850,2.7369,0.7982,-0.9176,2.995
3.7030,2.6320,1.5001,-1.1431,3.238
3.7060,2.5348,2.0322,-1.2431,3.479
3.7420,2.3900,2.4555,-1.1508,3.615
3.7450,2.2756,2.7579,-0.9506,3.700
3.7460,2.0599,3.0197,-0.6257,3.709
3.7530,1.6734,3.2432,-0.2619,3.659
3.7630,1.3992,3.2407,0.0011,3.530
3.7660,1.4082,3.2272,0.2972,3.534
3.7780,1.5968,3.1636,0.7160,3.615
3.7860,1.8766,3.0918,0.9946,3.751
3.7940,2.0344,2.9535,1.2154,3.787
3.8070,2.1084,2.7442,1.5532,3.793
3.8220,2.0559,2.7424,1.8721,3.905
3.8290,2.1321,2.9010,2.2106,4.225
3.8340,2.6561,2.8240,2.3735,4.546
3.8460,3.3939,2.7606,2.2997,4.942
3.8550,4.0253,2.7230,1.8801,5.211
3.8640,4.2466,2.6480,1.5098,5.227
3.8940,4.3242,2.6690,1.1902,5.219
3.8950,4.5713,2.4944,0.9480,5.293
3.8980,5.0815,1.9426,0.8196,5.502
3.9030,5.8256,1.3820,1.0319,6.076
3.9160,6.3870,0.9846,1.5510,6.646
3.9250,6.7450,0.7365,2.2464,7.147
3.9340,6.9708,0.8636,2.8251,7.571
3.9490,7.4837,1.0947,3.3129,8.257
3.9550,8.0325,1.3962,3.6065,8.915
3.9650,8.7667,1.6050,3.6950,9.648
3.9740,10.0366,1.4140,3.6453,10.771
3.9840,11.3433,0.6640,3.4295,11.869
3.9980,12.3010,-0.0334,3.3732,12.755
4.0030,12.7082,-0.1564,3.4499,13.169
4.0150,12.7797,0.0715,3.3954,13.223
4.0270,12.6754,0.3883,3.0102,13.034
4.0350,12.3482,0.6449,2.9284,12.707
4.0460,11.8709,1.0362,3.6050,12.449
4.0540,11.7301,1.2747,4.4373,12.606
4.0650,12.0405,0.9357,5.0427,13.087
4.0730,12.4177,0.3301,5.2144,13.472
4.0910,12.2957,-0.4350,4.5249,13.109
4.1010,11.4911,-1.4033,3.0887,11.981
4.1150,10.4339,-2.4990,1.4108,10.821
4.1210,9.1512,-3.7406,-0.1133,9.887
4.1300,7.8581,-4.6562,-1.2710,9.222
4.1380,6.5656,-5.1482,-1.7843,8.532
4.1470,5.2733,-4.9646,-2.0651,7.531
4.1540,4.2159,-4.5579,-2.0059,6.525
4.1650,3.3933,-4.2751,-1.5563,5.676
4.1750,2.9457,-3.9424,-0.8013,4.986
4.1840,2.4848,-3.8520,-0.0169,4.584
