time,gFx,gFy,gFz,TgF
0.228000,-0.7698,-0.5812,0.2700,1.002
0.231000,-0.7593,-0.5878,0.2705,0.998
0.235000,-0.7527,-0.6052,0.2697,1.003
0.235000,-0.7395,-0.6276,0.2741,1.008
0.239000,-0.7307,-0.6538,0.2797,1.020
0.241000,-0.7278,-0.6689,0.2824,1.028
0.242000,-0.7241,-0.6982,0.2871,1.046
0.243000,-0.7251,-0.7273,0.2888,1.067
0.245000,-0.7266,-0.7417,0.2895,1.078
0.247000,-0.7298,-0.7669,0.2856,1.096
0.248000,-0.7361,-0.7879,0.2817,1.114
0.252000,-0.7398,-0.7967,0.2836,1.124
0.253000,-0.7474,-0.8111,0.2827,1.139
0.254000,-0.7583,-0.8199,0.2817,1.152
0.257000,-0.7632,-0.8206,0.2812,1.155
0.259000,-0.7706,-0.8155,0.2785,1.156
0.261000,-0.7816,-0.8097,0.2800,1.160
0.262000,-0.7872,-0.8043,0.2807,1.160
0.264000,-0.7987,-0.7818,0.2802,1.152
0.268000,-0.8409,-0.6733,0.2778,1.113
0.269000,-0.8514,-0.6272,0.2793,1.094
0.270000,-0.8453,-0.5776,0.2863,1.063
0.272000,-0.8167,-0.5612,0.2902,1.033
0.274000,-0.8018,-0.5580,0.2902,1.019
0.276000,-0.7696,-0.5580,0.2932,0.995
0.278000,-0.7376,-0.5622,0.2893,0.971
0.280000,-0.7261,-0.5627,0.2846,0.962
0.282000,-0.7278,-0.5140,0.2536,0.926
0.284000,-0.7505,-0.4246,0.2174,0.889
0.286000,-0.7483,-0.4095,0.2143,0.880
0.288000,-0.7285,-0.4175,0.2226,0.869
0.290000,-0.7007,-0.4539,0.2343,0.867
0.292000,-0.6873,-0.4759,0.2397,0.870
0.294000,-0.6592,-0.5248,0.2531,0.880
0.296000,-0.6347,-0.5795,0.2695,0.901
0.298000,-0.6252,-0.6054,0.2758,0.913
0.301000,-0.6120,-0.6540,0.2797,0.938
0.303000,-0.6037,-0.6965,0.2714,0.961
0.304000,-0.6044,-0.7173,0.2631,0.974
0.307000,-0.6147,-0.7552,0.2482,1.005
0.308000,-0.6364,-0.7786,0.2363,1.033
0.310000,-0.6531,-0.7845,0.2319,1.047
0.312000,-0.6907,-0.7850,0.2306,1.071
0.314000,-0.7300,-0.7772,0.2304,1.091
0.317000,-0.7476,-0.7703,0.2284,1.097
0.318000,-0.7740,-0.7520,0.2267,1.103
0.321000,-0.7908,-0.7285,0.2270,1.099
0.322000,-0.7957,-0.7161,0.2323,1.095
0.324000,-0.8021,-0.6890,0.2433,1.085
0.327000,-0.8111,-0.6631,0.2578,1.079
0.328000,-0.8128,-0.6516,0.2665,1.075
0.330000,-0.8111,-0.6303,0.2822,1.065
0.332000,-0.8013,-0.6176,0.3034,1.056
0.334000,-0.7962,-0.6132,0.3137,1.053
0.337000,-0.7874,-0.6059,0.3362,1.049
0.338000,-0.7684,-0.6022,0.3613,1.041
0.341000,-0.7544,-0.6025,0.3716,1.035
0.343000,-0.7288,-0.6047,0.3887,1.024
0.344000,-0.7092,-0.6088,0.3990,1.016
0.346000,-0.6973,-0.6115,0.3992,1.010
0.348000,-0.6755,-0.6147,0.3973,0.996
0.352000,-0.6589,-0.6208,0.3880,0.985
0.353000,-0.6513,-0.6218,0.3814,0.978
0.355000,-0.6433,-0.6223,0.3665,0.967
0.357000,-0.6438,-0.6225,0.3513,0.962
0.359000,-0.6455,-0.6220,0.3442,0.960
0.361000,-0.6484,-0.6186,0.3271,0.954
0.363000,-0.6538,-0.6157,0.3091,0.950
0.365000,-0.6579,-0.6140,0.3015,0.949
0.367000,-0.6628,-0.6076,0.2902,0.945
0.369000,-0.6650,-0.5995,0.2819,0.939
0.370000,-0.6677,-0.5971,0.2802,0.939
0.372000,-0.6763,-0.5925,0.2795,0.942
0.374000,-0.6907,-0.5832,0.2822,0.947
0.376000,-0.6978,-0.5802,0.2851,0.951
0.378000,-0.7073,-0.5778,0.2917,0.959
0.380000,-0.7129,-0.5736,0.2973,0.962
0.382000,-0.7168,-0.5734,0.3012,0.966
0.384000,-0.7273,-0.5729,0.3042,0.975
0.387000,-0.7351,-0.5710,0.3020,0.979
0.388000,-0.7383,-0.5683,0.2993,0.979
0.390000,-0.7427,-0.5641,0.2939,0.978
0.392000,-0.7464,-0.5556,0.2861,0.973
0.394000,-0.7474,-0.5517,0.2822,0.971
0.396000,-0.7518,-0.5397,0.2753,0.966
0.398000,-0.7537,-0.5321,0.2695,0.961
0.401000,-0.7549,-0.5280,0.2656,0.959
0.403000,-0.7601,-0.5211,0.2595,0.957
0.405000,-0.7625,-0.5194,0.2560,0.957
0.406000,-0.7625,-0.5194,0.2551,0.957
0.409000,-0.7615,-0.5162,0.2524,0.954
0.410000,-0.7586,-0.5106,0.2519,0.948
0.412000,-0.7586,-0.5101,0.2526,0.948
0.414000,-0.7632,-0.5123,0.2563,0.954
0.417000,-0.7757,-0.5194,0.2585,0.969
0.418000,-0.7847,-0.5253,0.2617,0.980
0.421000,-0.8011,-0.5407,0.2692,1.003
0.423000,-0.8126,-0.5590,0.2780,1.025
0.425000,-0.8158,-0.5668,0.2822,1.033
0.427000,-0.8224,-0.5846,0.2915,1.050
0.428000,-0.8233,-0.6017,0.3010,1.063
0.430000,-0.8219,-0.6110,0.3044,1.068
0.432000,-0.8216,-0.6291,0.3169,1.082
0.435000,-0.8216,-0.6435,0.3288,1.094
0.438000,-0.8204,-0.6523,0.3325,1.100
0.439000,-0.8145,-0.6650,0.3352,1.104
0.441000,-0.8060,-0.6704,0.3345,1.100
0.443000,-0.8004,-0.6741,0.3350,1.099
0.444000,-0.7911,-0.6811,0.3337,1.096
0.448000,-0.7696,-0.6809,0.3264,1.078
0.449000,-0.7696,-0.6809,0.3264,1.078
0.452000,-0.7518,-0.6789,0.3210,1.063
0.453000,-0.7361,-0.6765,0.3091,1.046
0.455000,-0.7290,-0.6743,0.3027,1.038
0.457000,-0.7114,-0.6706,0.2912,1.020
0.459000,-0.6941,-0.6694,0.2810,1.004
0.461000,-0.6897,-0.6706,0.2773,1.001
0.463000,-0.6851,-0.6733,0.2734,0.999
0.464000,-0.6877,-0.6799,0.2734,1.005
0.467000,-0.6892,-0.6831,0.2719,1.008
